comparison,paired_n,high_willing_low_conf,pct,wilson_lo,wilson_hi,n_willing_gt_conf,n_equal,n_willing_lt_conf,wilcoxon_W,wilcoxon_p,matched_pairs_rank_biserial_r
willingness vs use confidence,300,63,21.0,16.8,26.0,230,58,12,1178.5,8.251173712566845e-37,0.92
willingness vs discussion confidence,299,72,24.1,19.6,29.2,239,50,10,1317.5,2.1493827651061326e-37,0.915
