model,term,beta,se,ci_low,ci_high,p,note,standardized_beta
primary_ClAIR_HC3,Intercept,0.9470433349644918,0.2349852089600636,0.4864807885031483,1.4076058814258352,5.572341575197773e-05,"HC3 robust; CI, p and SE all from this object",
primary_ClAIR_HC3,C(role)[T.Advanced Practitioner (Nurse Practitioner or Physician Assistant)],0.3040136889654432,0.10862724427125504,0.09110820245394838,0.516919175476938,0.0051310801211523725,"HC3 robust; CI, p and SE all from this object",
primary_ClAIR_HC3,C(role)[T.Physician],0.26894740798309996,0.10566597670154962,0.061845899256814246,0.47604891670938565,0.01091963273247587,"HC3 robust; CI, p and SE all from this object",
primary_ClAIR_HC3,C(role)[T.Resident or Fellow],-0.018466194985717665,0.16576921211286014,-0.34336788047250444,0.3064354905010691,0.9113015290363933,"HC3 robust; CI, p and SE all from this object",
primary_ClAIR_HC3,age,-0.0020433694406856184,0.002885209126946585,-0.007698275417367178,0.003611536535995941,0.4788072206120294,"HC3 robust; CI, p and SE all from this object",-0.037
primary_ClAIR_HC3,woman,-0.2642378646253324,0.06799605383747309,-0.39750768123762614,-0.1309680480130386,0.00010187742808038783,"HC3 robust; CI, p and SE all from this object",-0.173
primary_ClAIR_HC3,ai_knowledge,0.43576712611867896,0.04904650161491669,0.33963774938575664,0.5318965028516013,6.405032626526606e-19,"HC3 robust; CI, p and SE all from this object",0.519
primary_ClAIR_HC3,ai_required_likelihood,0.21969795841139694,0.05819489432831189,0.10563806144379138,0.3337578553790025,0.0001598727958222816,"HC3 robust; CI, p and SE all from this object",0.194
primary_ClAIR_HC3,ai_training,0.08211450018878295,0.0642476904839518,-0.04380865924963935,0.20803765962720527,0.20121676459536586,"HC3 robust; CI, p and SE all from this object",0.062
primary_ClAIR_HC3,ai_experience,0.012716981951258942,0.046323465499138565,-0.0780753420661364,0.10350930596865429,0.7836806536019645,"HC3 robust; CI, p and SE all from this object",0.015
primary_ClAIR_HC3,current_ai_use,0.030744464476251177,0.043290842843476125,-0.05410402835734557,0.11559295730984792,0.47759003368145714,"HC3 robust; CI, p and SE all from this object",0.033
