model,term,beta,se,ci_low,ci_high,p,note
leave_out_familiarity,ai_required_likelihood,0.231685,0.06926,0.095937,0.367433,0.000822,
leave_out_familiarity,ai_training,0.075745,0.076986,-0.075145,0.226635,0.325174,
leave_out_familiarity,ai_experience,0.005752,0.054301,-0.100676,0.11218,0.915638,
leave_out_familiarity,current_ai_use,0.025681,0.052543,-0.077301,0.128663,0.625005,
leave_out_willingness,Intercept,0.838493,0.22713,0.393326,1.28366,0.000223,
leave_out_willingness,C(role)[T.Advanced Practitioner (Nurse Practitioner or Physician Assistant)],0.239586,0.111647,0.020762,0.458409,0.031879,
leave_out_willingness,C(role)[T.Physician],0.200284,0.108718,-0.012799,0.413367,0.065441,
leave_out_willingness,C(role)[T.Resident or Fellow],-0.12531,0.150707,-0.42069,0.17007,0.405701,
leave_out_willingness,age,-0.00012,0.002882,-0.005769,0.005529,0.966879,
leave_out_willingness,woman,-0.271661,0.0688,-0.406506,-0.136816,7.9e-05,
leave_out_willingness,ai_knowledge,0.474191,0.04901,0.378134,0.570249,0.0,
leave_out_willingness,ai_required_likelihood,0.164303,0.052679,0.061055,0.267551,0.001815,
leave_out_willingness,ai_training,0.111028,0.064772,-0.015924,0.237979,0.086506,
leave_out_willingness,ai_experience,0.008411,0.046891,-0.083494,0.100316,0.857648,
leave_out_willingness,current_ai_use,0.02125,0.043888,-0.06477,0.10727,0.628257,
leave_out_general_opinion,Intercept,0.457207,0.241693,-0.016501,0.930916,0.058532,
leave_out_general_opinion,C(role)[T.Advanced Practitioner (Nurse Practitioner or Physician Assistant)],0.300267,0.112461,0.079847,0.520687,0.007586,
leave_out_general_opinion,C(role)[T.Physician],0.265066,0.108586,0.052242,0.47789,0.014643,
leave_out_general_opinion,C(role)[T.Resident or Fellow],-0.030258,0.170214,-0.36387,0.303355,0.858909,
leave_out_general_opinion,age,-0.001202,0.003009,-0.0071,0.004697,0.689691,
leave_out_general_opinion,woman,-0.235925,0.070451,-0.374006,-0.097844,0.000812,
leave_out_general_opinion,ai_knowledge,0.531559,0.052271,0.42911,0.634007,0.0,
leave_out_general_opinion,ai_required_likelihood,0.226293,0.060731,0.107262,0.345323,0.000194,
leave_out_general_opinion,ai_training,0.09734,0.065845,-0.031714,0.226394,0.139322,
leave_out_general_opinion,ai_experience,0.004427,0.04946,-0.092513,0.101366,0.928686,
leave_out_general_opinion,current_ai_use,0.039516,0.047262,-0.053116,0.132149,0.403094,
leave_out_use_confidence,Intercept,1.105683,0.238631,0.637976,1.57339,4e-06,
leave_out_use_confidence,C(role)[T.Advanced Practitioner (Nurse Practitioner or Physician Assistant)],0.203222,0.109024,-0.01046,0.416905,0.062319,
leave_out_use_confidence,C(role)[T.Physician],0.243559,0.106619,0.03459,0.452529,0.022349,
leave_out_use_confidence,C(role)[T.Resident or Fellow],-0.008595,0.175429,-0.352429,0.335239,0.960925,
leave_out_use_confidence,age,-0.002077,0.002755,-0.007477,0.003323,0.450922,
leave_out_use_confidence,woman,-0.247033,0.068418,-0.38113,-0.112937,0.000305,
leave_out_use_confidence,ai_knowledge,0.393498,0.047668,0.30007,0.486925,0.0,
leave_out_use_confidence,ai_required_likelihood,0.250665,0.05855,0.135909,0.36542,1.9e-05,
leave_out_use_confidence,ai_training,0.065907,0.064043,-0.059615,0.191429,0.303427,
leave_out_use_confidence,ai_experience,0.022816,0.045952,-0.067249,0.112881,0.619536,
leave_out_use_confidence,current_ai_use,0.0283,0.042009,-0.054035,0.110636,0.500517,
leave_out_discuss_confidence,Intercept,1.206455,0.242865,0.730448,1.682462,1e-06,
leave_out_discuss_confidence,C(role)[T.Advanced Practitioner (Nurse Practitioner or Physician Assistant)],0.321468,0.111702,0.102536,0.5404,0.004003,
leave_out_discuss_confidence,C(role)[T.Physician],0.279367,0.108292,0.067119,0.491615,0.009887,
leave_out_discuss_confidence,C(role)[T.Resident or Fellow],0.014414,0.163239,-0.305529,0.334356,0.92964,
leave_out_discuss_confidence,age,-0.002535,0.002855,-0.00813,0.003061,0.374615,
leave_out_discuss_confidence,woman,-0.247872,0.070468,-0.385987,-0.109756,0.000436,
leave_out_discuss_confidence,ai_knowledge,0.381956,0.050229,0.283508,0.480404,0.0,
leave_out_discuss_confidence,ai_required_likelihood,0.225544,0.060079,0.107791,0.343297,0.000174,
leave_out_discuss_confidence,ai_training,0.060552,0.068773,-0.07424,0.195345,0.378607,
leave_out_discuss_confidence,ai_experience,0.02218,0.04878,-0.073428,0.117787,0.649335,
leave_out_discuss_confidence,current_ai_use,0.038974,0.041789,-0.042931,0.12088,0.351008,
